Date,Strategy Return,MACD Return,RSI Return,BB Return,Buy & Hold Returns
2021-02-22,-0.00530160820035803,0.001,0.001,-0.00530160820035803,-0.00530160820035803
2021-02-23,0.005472198509602596,0.001,0.001,0.005472198509602596,0.005472198509602596
2021-02-24,-0.023990439318433397,0.001,0.001,-0.023990439318433397,-0.023990439318433397
2021-02-25,0.014695625299752752,0.001,0.001,0.014695625299752752,0.014695625299752752
2021-02-26,0.019432971063609073,0.001,0.001,0.019432971063609073,0.019432971063609073
2021-03-01,-0.01304157028485463,0.001,0.001,-0.01304157028485463,-0.01304157028485463
2021-03-02,-0.02735145539183902,0.001,0.001,-0.02735145539183902,-0.02735145539183902
2021-03-03,-0.0036540657590962387,0.001,0.001,-0.0036540657590962387,-0.0036540657590962387
2021-03-04,0.02125190865781029,0.001,0.001,0.02125190865781029,0.02125190865781029
2021-03-05,-0.018345169760996188,0.001,0.001,-0.018345169760996188,-0.018345169760996188
2021-03-08,0.027713894666496982,0.001,0.001,0.027713894666496982,0.027713894666496982
2021-03-09,0.0,0.001,0.001,-0.005834425041522192,-0.005834425041522192
2021-03-10,0.020062462632794858,0.001,0.001,0.020062462632794858,0.020062462632794858
2021-03-11,-0.005836613035740749,0.001,0.001,-0.005836613035740749,-0.005836613035740749
2021-03-12,-0.0039952554260796165,0.001,0.001,-0.0039952554260796165,-0.0039952554260796165
2021-03-15,0.012274805473618445,0.001,0.001,0.012274805473618445,0.012274805473618445
2021-03-16,-0.0028225966195694046,-0.0028225966195694046,0.001,-0.0028225966195694046,-0.0028225966195694046
2021-03-17,-0.02702401555410974,-0.02702401555410974,0.001,-0.02702401555410974,-0.02702401555410974
2021-03-18,-0.0016049415087975283,0.001,0.001,-0.0016049415087975283,-0.0016049415087975283
2021-03-19,0.024189536644974217,0.001,0.001,0.024189536644974217,0.024189536644974217
2021-03-22,0.0067149620448983035,0.001,0.001,0.0067149620448983035,0.0067149620448983035
2021-03-23,-0.008963340404617751,-0.008963340404617751,0.001,-0.008963340404617751,-0.008963340404617751
2021-03-24,-0.013339275840409944,-0.013339275840409944,0.001,-0.013339275840409944,-0.013339275840409944
2021-03-25,0.017661819369461377,0.001,0.001,0.017661819369461377,0.017661819369461377
2021-03-26,-0.005257326749861977,-0.005257326749861977,0.001,-0.005257326749861977,-0.005257326749861977
2021-03-29,-0.014515655780325824,-0.014515655780325824,0.001,-0.014515655780325824,-0.014515655780325824
2021-03-30,0.01676613450475454,0.001,0.001,0.01676613450475454,0.01676613450475454
2021-03-31,0.027526215808597678,0.001,0.001,0.027526215808597678,0.027526215808597678
2021-04-01,0.027351023384778565,0.027351023384778565,0.001,0.027351023384778565,0.027351023384778565
2021-04-05,-0.004869937761664802,-0.004869937761664802,0.001,-0.004869937761664802,-0.004869937761664802
2021-04-06,0.008196740317860973,0.008196740317860973,0.001,0.008196740317860973,0.008196740317860973
2021-04-07,0.013316329711718325,0.013316329711718325,0.001,0.013316329711718325,0.013316329711718325
2021-04-08,0.010214215978143645,0.010214215978143645,0.001,0.010214215978143645,0.010214215978143645
2021-04-09,0.00023447537018809518,0.00023447537018809518,0.001,0.00023447537018809518,0.00023447537018809518
2021-04-12,0.010031136224041759,0.010031136224041759,0.001,0.010031136224041759,0.010031136224041759
2021-04-13,0.0,-0.011282386921870918,0.001,-0.011282386921870918,-0.011282386921870918
2021-04-14,0.015182118826647798,0.015182118826647798,0.001,0.015182118826647798,0.015182118826647798
2021-04-15,0.004767002175191005,0.004767002175191005,0.001,0.004767002175191005,0.004767002175191005
2021-04-16,-0.007700046034383669,-0.007700046034383669,0.001,-0.007700046034383669,-0.007700046034383669
2021-04-19,-0.0018567915150923345,-0.0018567915150923345,0.001,-0.0018567915150923345,-0.0018567915150923345
2021-04-20,0.008942997012945576,0.008942997012945576,0.001,0.008942997012945576,0.008942997012945576
2021-04-21,-0.013172467217247035,-0.013172467217247035,0.001,-0.013172467217247035,-0.013172467217247035
2021-04-22,0.015357534483265269,0.015357534483265269,0.001,0.015357534483265269,0.015357534483265269
2021-04-23,0.0015304916341129216,0.0015304916341129216,0.001,0.0015304916341129216,0.0015304916341129216
2021-04-26,0.001604574903211174,0.001604574903211174,0.001,0.001604574903211174,0.001604574903211174
2021-04-27,-0.028693443049160317,-0.028693443049160317,0.001,-0.028693443049160317,-0.028693443049160317
2021-04-28,-0.008085724861435358,0.001,0.001,-0.008085724861435358,-0.008085724861435358
2021-04-29,-0.0013077409358853353,0.001,0.001,-0.0013077409358853353,-0.0013077409358853353
2021-04-30,-0.0012697092003885128,0.001,0.001,-0.0012697092003885128,-0.0012697092003885128
2021-05-03,-0.01629179384041422,0.001,0.001,-0.01629179384041422,-0.01629179384041422
2021-05-04,-0.00534129898564271,0.001,0.001,-0.00534129898564271,-0.00534129898564271
2021-05-05,0.013140029958661351,0.001,0.001,0.013140029958661351,0.013140029958661351
2021-05-06,0.010872529784819935,0.001,0.001,0.010872529784819935,0.010872529784819935
2021-05-07,-0.021136060388026175,0.001,0.001,-0.021136060388026175,-0.021136060388026175
2021-05-10,-0.0038507454022756404,0.001,0.001,-0.0038507454022756404,-0.0038507454022756404
2021-05-11,-0.029802489196688722,0.001,0.001,-0.029802489196688722,-0.029802489196688722
2021-05-12,0.01672133555614924,0.001,0.001,0.01672133555614924,0.01672133555614924
2021-05-13,0.020848489949716033,0.001,0.001,0.020848489949716033,0.020848489949716033
2021-05-14,-0.012040772643351327,0.001,0.001,-0.012040772643351327,-0.012040772643351327
2021-05-17,-0.008601989994145682,0.001,0.001,-0.008601989994145682,-0.008601989994145682
2021-05-18,0.00016451372469786346,0.001,0.001,0.00016451372469786346,0.00016451372469786346
2021-05-19,0.013725708429930355,0.001,0.001,0.013725708429930355,0.013725708429930355
2021-05-20,-0.005328996948996506,0.001,0.001,-0.005328996948996506,-0.005328996948996506
2021-05-21,0.02262421588925553,0.001,0.001,0.02262421588925553,0.02262421588925553
2021-05-24,0.0037413076134148312,0.001,0.001,0.0037413076134148312,0.0037413076134148312
2021-05-25,-0.000914114347830566,-0.000914114347830566,0.001,-0.000914114347830566,-0.000914114347830566
2021-05-26,-0.008706156913487917,-0.008706156913487917,0.001,-0.008706156913487917,-0.008706156913487917
2021-05-27,0.0014829763812379318,0.0014829763812379318,0.001,0.0014829763812379318,0.0014829763812379318
2021-05-28,-0.009173633340350424,-0.009173633340350424,0.001,-0.009173633340350424,-0.009173633340350424
2021-06-01,-0.0004042484200731295,-0.0004042484200731295,0.001,-0.0004042484200731295,-0.0004042484200731295
2021-06-02,-0.006450180803713396,-0.006450180803713396,0.001,-0.006450180803713396,-0.006450180803713396
2021-06-03,0.02046390272070973,0.001,0.001,0.02046390272070973,0.02046390272070973
2021-06-04,0.01197003720361068,0.01197003720361068,0.001,0.01197003720361068,0.01197003720361068
2021-06-07,-0.004897478971834468,-0.004897478971834468,0.001,-0.004897478971834468,-0.004897478971834468
2021-06-08,0.00403030815143251,0.00403030815143251,0.001,0.00403030815143251,0.00403030815143251
2021-06-09,0.01429068813569064,0.01429068813569064,0.001,0.01429068813569064,0.01429068813569064
2021-06-10,0.0025237309141896667,0.0025237309141896667,0.001,0.0025237309141896667,0.0025237309141896667
2021-06-11,0.007725326716385213,0.007725326716385213,0.001,0.007725326716385213,0.007725326716385213
2021-06-14,-0.005904616467653577,-0.005904616467653577,0.001,-0.005904616467653577,-0.005904616467653577
2021-06-15,-0.0038002934297558006,-0.0038002934297558006,0.001,-0.0038002934297558006,-0.0038002934297558006
2021-06-16,0.013583557711863616,0.013583557711863616,0.001,0.013583557711863616,0.013583557711863616
2021-06-17,-0.005650280281874063,-0.005650280281874063,0.001,-0.005650280281874063,-0.005650280281874063
2021-06-18,0.012259327662258474,0.012259327662258474,0.001,0.012259327662258474,0.012259327662258474
2021-06-21,0.010906325407763625,0.010906325407763625,0.001,0.010906325407763625,0.010906325407763625
