Date,Strategy Return,MACD Return,RSI Return,BB Return,Buy & Hold Returns
2021-06-25,0.0,0.04095210570843691,0.001,0.04095210570843691,0.04095210570843691
2021-06-28,0.0,-0.01060035605420123,0.001,-0.01060035605420123,-0.01060035605420123
2021-06-29,0.0,-0.011949893936639928,0.001,-0.011949893936639928,-0.011949893936639928
2021-06-30,0.0,0.01902926851172228,0.001,0.01902926851172228,0.01902926851172228
2021-07-01,0.0008743532318956495,0.0008743532318956495,0.001,0.0008743532318956495,0.0008743532318956495
2021-07-02,-0.005427766471570209,-0.005427766471570209,0.001,-0.005427766471570209,-0.005427766471570209
2021-07-06,0.0,-0.006512482188703615,0.001,-0.006512482188703615,-0.006512482188703615
2021-07-07,0.0,-0.01390546280119548,0.001,-0.01390546280119548,-0.01390546280119548
2021-07-08,0.013705788644720197,0.001,0.001,0.013705788644720197,0.013705788644720197
2021-07-09,0.007788749025015795,0.001,0.001,0.007788749025015795,0.007788749025015795
2021-07-12,-0.003034408068736281,0.001,0.001,-0.003034408068736281,-0.003034408068736281
2021-07-13,-0.01274810452214437,0.001,0.001,-0.01274810452214437,-0.01274810452214437
2021-07-14,-0.009160761211165791,0.001,0.001,-0.009160761211165791,-0.009160761211165791
2021-07-15,-0.009626362415687014,0.001,0.001,-0.009626362415687014,-0.009626362415687014
2021-07-16,-0.012416998564950632,0.001,0.001,-0.012416998564950632,-0.012416998564950632
2021-07-19,0.013881513617244372,0.001,0.001,0.013881513617244372,0.013881513617244372
2021-07-20,0.0132872245942335,0.001,0.001,0.0132872245942335,0.0132872245942335
2021-07-21,0.014224068671562232,0.001,0.001,0.014224068671562232,0.014224068671562232
2021-07-22,0.0,0.001,0.001,0.05160790554747382,0.05160790554747382
2021-07-23,0.0,0.007194326510749519,0.001,0.007194326510749519,0.007194326510749519
2021-07-26,0.0,-0.01256313270907148,0.001,-0.01256313270907148,-0.01256313270907148
2021-07-27,0.0,0.014762311150475112,0.001,0.014762311150475112,0.014762311150475112
2021-07-28,-0.040902342663426926,-0.040902342663426926,0.001,-0.040902342663426926,-0.040902342663426926
2021-07-29,0.0,-0.005653423988237873,0.001,-0.005653423988237873,-0.005653423988237873
2021-07-30,-0.012283883613114652,-0.012283883613114652,0.001,-0.012283883613114652,-0.012283883613114652
2021-08-02,-0.0020194320496209773,0.001,0.001,-0.0020194320496209773,-0.0020194320496209773
